pid,param1,param2,param3
100066922137,2,商品毛重,6.26kg
100066922137,2,商品产地,中国大陆
100066922137,2,水冷类型,360冷排，280冷排，120冷排
100066922137,2,体型,小型机箱
100066922137,2,机箱类型,玻璃侧透机箱
100066922137,2,机箱重量,5-8kg
100066922137,2,RGB光控,不支持RGB光控
100066922137,2,支持主板,M-ATX（紧凑型），MINI-ITX（迷你型）
100066922137,2,颜色,黑色
100021640870,1,品牌,大水牛（BUBALUS）
100021640870,2,商品名称,大水牛牛仔K机箱
100021640870,2,商品编号,100021640870
100021640870,2,商品毛重,2.2kg
100021640870,2,商品产地,中国大陆
100021640870,2,体型,小型机箱
100021640870,2,机箱类型,异形机箱
100021640870,2,机箱重量,<5kg
100021640870,2,RGB光控,不支持RGB光控
100021640870,2,颜色,黑色
100021640870,2,支持主板,M-ATX（紧凑型），MINI-ITX（迷你型）
100070496738,1,品牌,影驰
100070496738,2,商品名称,影驰沐光MINI黑色
100070496738,2,商品编号,100070496738
100070496738,2,商品毛重,4.86kg
100070496738,2,商品产地,中国大陆
100070496738,2,体型,小型机箱
100070496738,2,机箱类型,玻璃侧透机箱
100070496738,2,支持主板,M-ATX（紧凑型），MINI-ITX（迷你型）
10091859032589,1,品牌,鱼巢
10091859032589,2,商品名称,鱼巢S5MAX机箱
10091859032589,2,商品编号,10091859032589
10091859032589,2,店铺,北鱼电脑配件专营店
10091859032589,2,商品毛重,3.5kg
10091859032589,2,商品产地,中国大陆
10091859032589,2,体型,小型机箱
10091859032589,2,机箱类型,玻璃侧透机箱
10091859032589,2,机箱重量,<5kg
10091859032589,2,支持主板,M-ATX（紧凑型），MINI-ITX（迷你型）
10091859032589,2,RGB光控,不支持RGB光控
100077492375,1,品牌,超频三（PCCOOLER）
100077492375,2,商品名称,超频三C3 B310 WH
100077492375,2,商品编号,100077492375
100077492375,2,商品毛重,4.83kg
100077492375,2,商品产地,中国大陆
100077492375,2,水冷类型,360冷排，280冷排，240冷排，120冷排
100077492375,2,体型,小型机箱
100077492375,2,机箱类型,玻璃侧透机箱
100077492375,2,机箱重量,5-8kg
100077492375,2,RGB光控,不支持RGB光控
100077492375,2,支持主板,M-ATX（紧凑型），MINI-ITX（迷你型）
100077492375,2,颜色,白色
100004887526,1,品牌,华硕（ASUS）
100004887526,2,商品名称,华硕GX601
100004887526,2,商品编号,100004887526
100004887526,2,商品毛重,21.6kg
100004887526,2,商品产地,中国大陆
100004887526,2,水冷类型,420冷排，360冷排，280冷排，240冷排，120冷排
100004887526,2,体型,中型机箱（中塔机箱）
100004887526,2,机箱类型,玻璃侧透机箱，铝质机箱
100004887526,2,机箱重量,>16kg
100004887526,2,支持主板,E-ATX（加强型），ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）
100004887526,2,RGB光控,支持RGB光控
100004887526,2,颜色,黑色
100025663604,1,品牌,先马（SAMA）
100025663604,2,商品名称,先马朱雀air
100025663604,2,商品编号,100025663604
100025663604,2,商品毛重,5.73kg
100025663604,2,商品产地,中国大陆
100025663604,2,水冷类型,240冷排，120冷排
100025663604,2,体型,中型机箱（中塔机箱）
100025663604,2,机箱类型,异形机箱
100025663604,2,颜色,黑色
100025663604,2,支持主板,ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）
100084585466,1,品牌,Thermaltake（Tt）
100084585466,2,商品名称,Thermaltake（Tt）CA-1C5-00F6WN-01
100084585466,2,商品编号,100084585466
100084585466,2,商品毛重,7.36kg
100084585466,2,商品产地,中国大陆
100084585466,2,水冷类型,360冷排，240冷排
100084585466,2,体型,大型机箱（全塔机箱）
100084585466,2,机箱类型,玻璃侧透机箱
100084585466,2,机箱重量,5-8kg
100084585466,2,RGB光控,不支持RGB光控
100084585466,2,颜色,白色
100084585466,2,支持主板,E-ATX（加强型），ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）
100012587438,1,品牌,游戏悍将
100012587438,2,商品名称,游戏悍将OMG-MATX粉色
100012587438,2,商品编号,100012587438
100012587438,2,商品毛重,4.96kg
100012587438,2,商品产地,中国大陆
100012587438,2,水冷类型,240冷排，120冷排
100012587438,2,体型,中型机箱（中塔机箱）
100012587438,2,机箱类型,玻璃侧透机箱
100012587438,2,颜色,白色
100012587438,2,支持主板,M-ATX（紧凑型），MINI-ITX（迷你型）
10043799511903,1,品牌,EVESKY
10043799511903,2,商品名称,EVESKY扬天M3
10043799511903,2,商品编号,10043799511903
10043799511903,2,店铺,晨惠电脑配件专营店
10043799511903,2,商品毛重,2.5kg
10043799511903,2,商品产地,中国大陆
10043799511903,2,体型,小型机箱
10043799511903,2,支持主板,M-ATX（紧凑型），MINI-ITX（迷你型）
10077524100806,1,品牌,爱国者
10077524100806,2,商品名称,爱国者YOGO M2
10077524100806,2,商品编号,10077524100806
10077524100806,2,店铺,爱国者电竞旗舰店
10077524100806,2,商品毛重,10.0kg
10077524100806,2,水冷类型,240冷排，120冷排
10077524100806,2,体型,小型机箱
10077524100806,2,机箱类型,玻璃侧透机箱
10077524100806,2,机箱重量,5-8kg
10077524100806,2,支持主板,M-ATX（紧凑型），MINI-ITX（迷你型）
10077524100806,2,RGB光控,不支持RGB光控
10095720763200,1,品牌,戴尔（DELL）
10095720763200,2,商品名称,戴尔（DELL）7010
10095720763200,2,商品编号,10095720763200
10095720763200,2,店铺,戴尔创投专卖店
10095720763200,2,商品毛重,0.59kg
10095720763200,2,屏幕尺寸,23-25英寸
10095720763200,2,系列,戴尔-OptiPlex
10095720763200,2,类型,单主机
10095720763200,2,系统,Windows 11
10095720763200,2,机箱大小,10-20L
10095720763200,2,处理器,intel i3
10095720763200,2,硬盘容量,256GB SSD
10095720763200,2,显卡型号,集成显卡
10095720763200,2,内存容量,8GB
10095720763200,2,支持IPv6,支持IPv6
10095720763200,2,适用场景,商用
100075648005,1,品牌,长城（Great Wall）
100075648005,2,商品名称,长城天工1黑
100075648005,2,商品编号,100075648005
100075648005,2,商品毛重,3.06kg
100075648005,2,商品产地,中国大陆
100075648005,2,水冷类型,不支持
100075648005,2,体型,小型机箱
100075648005,2,机箱类型,玻璃侧透机箱
100075648005,2,机箱重量,<5kg
100075648005,2,RGB光控,不支持RGB光控
100075648005,2,颜色,黑色
100075648005,2,支持主板,M-ATX（紧凑型），MINI-ITX（迷你型）
100062478624,1,品牌,乔思伯（JONSBO）
100062478624,2,商品名称,乔思伯D300黑色
100062478624,2,商品编号,100062478624
100062478624,2,商品毛重,10.36kg
100062478624,2,商品产地,中国大陆
100062478624,2,水冷类型,360冷排，280冷排，240冷排
100062478624,2,体型,小型机箱
100062478624,2,机箱类型,玻璃侧透机箱
100062478624,2,支持主板,M-ATX（紧凑型）
100012169531,1,品牌,航嘉（Huntkey）
100012169531,2,商品名称,航嘉超越
100012169531,2,商品编号,100012169531
100012169531,2,商品毛重,3.86kg
100012169531,2,商品产地,中国大陆
100012169531,2,货号,6946333011877
100012169531,2,水冷类型,不支持
100012169531,2,体型,小型机箱
100012169531,2,机箱重量,<5kg
100012169531,2,颜色,黑色
100012169531,2,支持主板,M-ATX（紧凑型），MINI-ITX（迷你型）
100006587871,1,品牌,爱国者（aigo）
100006587871,2,商品名称,爱国者爱国者（aigo）A15全侧透台式机电脑机箱
100006587871,2,商品编号,100006587871
100006587871,2,商品毛重,3.96kg
100006587871,2,商品产地,中国大陆
100006587871,2,水冷类型,240冷排，120冷排
100006587871,2,体型,中型机箱（中塔机箱）
100006587871,2,机箱重量,<5kg
100006587871,2,RGB光控,不支持RGB光控
100006587871,2,支持主板,ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）
100006587871,2,颜色,黑色
100002852530,1,品牌,大水牛（BUBALUS）
100002852530,2,商品名称,大水牛风格
100002852530,2,商品编号,100002852530
100002852530,2,商品毛重,2.85kg
100002852530,2,商品产地,中国大陆
100002852530,2,水冷类型,不支持
100002852530,2,体型,小型机箱
100002852530,2,机箱类型,复古机箱（带光驱位）
100002852530,2,机箱重量,<5kg
100002852530,2,RGB光控,不支持RGB光控
100002852530,2,颜色,黑色
100002852530,2,支持主板,M-ATX（紧凑型），MINI-ITX（迷你型）
100070110297,1,品牌,戴尔（DELL）
100070110297,2,商品名称,戴尔（DELL）
100070110297,2,商品编号,100070110297
100070110297,2,商品毛重,4.0kg
100070110297,2,商品产地,中国大陆
100070110297,2,货号,0000000000000
100070110297,2,屏幕尺寸,无显示器
100070110297,2,系列,戴尔-OptiPlex
100070110297,2,类型,主机+显示器
100070110297,2,优选服务,三年质保
100070110297,2,机箱大小,10L以下
100070110297,2,处理器,intel i3
100070110297,2,系统,Windows 11家庭中文版
100070110297,2,硬盘容量,240-256GB SSD
100070110297,2,内存容量,8GB
100070110297,2,显卡型号,集成显卡
100070110297,2,支持IPv6,支持IPv6
100070110297,2,特性,拆机保修
100070110297,2,适用场景,商用
100002852530,1,品牌,大水牛（BUBALUS）
100002852530,2,商品名称,大水牛风格
100002852530,2,商品编号,100002852530
100002852530,2,商品毛重,2.85kg
100002852530,2,商品产地,中国大陆
100002852530,2,水冷类型,不支持
100002852530,2,体型,小型机箱
100002852530,2,机箱类型,复古机箱（带光驱位）
100002852530,2,机箱重量,<5kg
100002852530,2,RGB光控,不支持RGB光控
100002852530,2,颜色,黑色
100002852530,2,支持主板,M-ATX（紧凑型），MINI-ITX（迷你型）
100082360367,1,品牌,先马（SAMA）
100082360367,2,商品名称,先马幻境界（黑）
100082360367,2,商品编号,100082360367
100082360367,2,商品毛重,7.8kg
100082360367,2,商品产地,中国大陆
100082360367,2,水冷类型,360冷排，280冷排，240冷排，120冷排
100082360367,2,体型,中型机箱（中塔机箱）
100082360367,2,机箱类型,玻璃侧透机箱，异形机箱
100082360367,2,支持主板,ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）
100082360367,2,颜色,黑色
100061121084,1,品牌,爱国者（aigo）
100061121084,2,商品名称,爱国者JV13 白色
100061121084,2,商品编号,100061121084
100061121084,2,商品毛重,4.64kg
100061121084,2,商品产地,中国大陆
100061121084,2,水冷类型,240冷排，120冷排
100061121084,2,体型,中型机箱（中塔机箱）
100061121084,2,机箱重量,5-8kg
100061121084,2,RGB光控,不支持RGB光控
100061121084,2,支持主板,M-ATX（紧凑型），MINI-ITX（迷你型）
100061121084,2,颜色,白色
100063130849,1,品牌,爱国者（aigo）
100063130849,2,商品名称,爱国者爱国者（aigo）A15 白色 全侧透台式机电脑机箱
100063130849,2,商品编号,100063130849
100063130849,2,商品毛重,4.0kg
100063130849,2,商品产地,中国大陆
100063130849,2,水冷类型,240冷排，120冷排
100063130849,2,体型,中型机箱（中塔机箱）
100063130849,2,机箱重量,<5kg
100063130849,2,RGB光控,不支持RGB光控
100063130849,2,支持主板,ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）
100063130849,2,颜色,黑色
10091859032589,1,品牌,鱼巢
10091859032589,2,商品名称,鱼巢S5MAX机箱
10091859032589,2,商品编号,10091859032589
10091859032589,2,店铺,北鱼电脑配件专营店
10091859032589,2,商品毛重,3.5kg
10091859032589,2,商品产地,中国大陆
10091859032589,2,体型,小型机箱
10091859032589,2,机箱类型,玻璃侧透机箱
10091859032589,2,机箱重量,<5kg
10091859032589,2,支持主板,M-ATX（紧凑型），MINI-ITX（迷你型）
10091859032589,2,RGB光控,不支持RGB光控
100053395888,1,品牌,戴尔（DELL）
100053395888,2,商品名称,戴尔OptiPlex
100053395888,2,商品编号,100053395888
100053395888,2,商品毛重,5.0kg
100053395888,2,商品产地,中国大陆
100053395888,2,屏幕尺寸,23-25英寸
100053395888,2,系列,戴尔-OptiPlex
100053395888,2,支持IPv6,支持IPv6
100053395888,2,优选服务,三年质保
100053395888,2,机箱大小,3-9.9L
100053395888,2,处理器,intel i7
100053395888,2,类型,主机+显示器
100053395888,2,硬盘容量,1TB SSD+1TB HDD
100053395888,2,系统,Windows 11家庭中文版
100053395888,2,显卡型号,GT730-4G
100053395888,2,内存容量,64GB
100053395888,2,特性,拆机保修
100053395888,2,适用场景,商用
100012057352,1,品牌,长城（Great Wall）
100012057352,2,商品名称,长城KM-1W
100012057352,2,商品编号,100012057352
100012057352,2,商品毛重,5.0kg
100012057352,2,商品产地,中国大陆
100012057352,2,水冷类型,280冷排，240冷排，120冷排
100012057352,2,体型,小型机箱
100012057352,2,机箱类型,玻璃侧透机箱
100012057352,2,机箱重量,<5kg
100012057352,2,RGB光控,支持RGB光控
100012057352,2,颜色,白色
100012057352,2,支持主板,M-ATX（紧凑型），MINI-ITX（迷你型）
100039516529,1,品牌,先马（SAMA）
100039516529,2,商品名称,先马 平头哥M2 Air 黑
100039516529,2,商品编号,100039516529
100039516529,2,商品毛重,3.92kg
100039516529,2,商品产地,中国大陆
100039516529,2,水冷类型,240冷排，120冷排
100039516529,2,体型,小型机箱
100039516529,2,机箱类型,异形机箱
100039516529,2,颜色,黑色
100039516529,2,支持主板,M-ATX（紧凑型），MINI-ITX（迷你型）
10043799511903,1,品牌,EVESKY
10043799511903,2,商品名称,EVESKY扬天M3
10043799511903,2,商品编号,10043799511903
10043799511903,2,店铺,晨惠电脑配件专营店
10043799511903,2,商品毛重,2.5kg
10043799511903,2,商品产地,中国大陆
10043799511903,2,体型,小型机箱
10043799511903,2,支持主板,M-ATX（紧凑型），MINI-ITX（迷你型）
100054682694,1,品牌,鑫谷（segotep）
100054682694,2,商品名称,鑫谷阔斧5黑色电脑机箱
100054682694,2,商品编号,100054682694
100054682694,2,商品毛重,4.96kg
100054682694,2,商品产地,中国大陆
100054682694,2,水冷类型,280冷排，240冷排，120冷排
100054682694,2,体型,中型机箱（中塔机箱）
100054682694,2,机箱类型,玻璃侧透机箱
100054682694,2,机箱重量,5-8kg
100054682694,2,颜色,黑色
100054682694,2,支持主板,M-ATX（紧凑型），MINI-ITX（迷你型）
100070488912,1,品牌,华硕（ASUS）
100070488912,2,商品名称,华硕光影
100070488912,2,商品编号,100070488912
100070488912,2,商品毛重,9.34kg
100070488912,2,商品产地,中国大陆
100070488912,2,水冷类型,360冷排，280冷排，240冷排，120冷排
100070488912,2,体型,中型机箱（中塔机箱）
100070488912,2,机箱类型,玻璃侧透机箱
100070488912,2,机箱重量,5-8kg
100070488912,2,颜色,黑色
100070488912,2,支持主板,M-ATX（紧凑型），MINI-ITX（迷你型），其他
100053395886,1,品牌,戴尔（DELL）
100053395886,2,商品名称,戴尔OptiPlex
100053395886,2,商品编号,100053395886
100053395886,2,商品毛重,5.0kg
100053395886,2,商品产地,中国大陆
100053395886,2,屏幕尺寸,无显示器
100053395886,2,系列,戴尔-OptiPlex
100053395886,2,支持IPv6,支持IPv6
100053395886,2,优选服务,三年质保
100053395886,2,机箱大小,3-9.9L
100053395886,2,处理器,intel i7
100053395886,2,内存容量,32GB
100053395886,2,硬盘容量,480GB/512GB SSD+1TB HDD
100053395886,2,系统,Windows 11家庭中文版
100053395886,2,显卡型号,其他
100053395886,2,类型,主机+显示器
100053395886,2,特性,拆机保修
100053395886,2,适用场景,商用
10088280785948,1,品牌,玩嘉
10088280785948,2,商品名称,玩嘉天幕
10088280785948,2,商品编号,10088280785948
10088280785948,2,店铺,京品鹿官方旗舰店
10088280785948,2,商品毛重,8.0kg
10088280785948,2,水冷类型,360冷排，240冷排
10088280785948,2,体型,小型机箱
10088280785948,2,机箱类型,玻璃侧透机箱，异形机箱
10088280785948,2,支持主板,M-ATX（紧凑型），MINI-ITX（迷你型）
10088280785948,2,颜色,黑色
100017534480,1,品牌,Thermaltake（Tt）
100017534480,2,商品名称,Thermaltake（Tt）CA-1T2-00M1WN-00
100017534480,2,商品编号,100017534480
100017534480,2,商品毛重,12.85kg
100017534480,2,商品产地,中国大陆
100017534480,2,水冷类型,360冷排，280冷排，240冷排，120冷排
100017534480,2,体型,中型机箱（中塔机箱）
100017534480,2,机箱类型,玻璃侧透机箱
100017534480,2,机箱重量,8-12kg
100017534480,2,RGB光控,不支持RGB光控
100017534480,2,颜色,黑色
100017534480,2,支持主板,E-ATX（加强型），ATX（标准型），M-ATX（紧凑型）
10091005549903,1,品牌,EVESKY
10091005549903,2,商品名称,EVESKY灵悦
10091005549903,2,商品编号,10091005549903
10091005549903,2,店铺,晨惠电脑配件专营店
10091005549903,2,商品毛重,2.5kg
10091005549903,2,商品产地,中国大陆
10091005549903,2,支持主板,M-ATX（紧凑型），MINI-ITX（迷你型）
100020190788,1,品牌,半岛铁盒（PADO）
100020190788,2,商品名称,半岛铁盒H5
100020190788,2,商品编号,100020190788
