ProductId,ID,img
100020092372,20479698634,//img30.360buyimg.com/n0/s128x96_jfs/t1/227430/26/14190/55530/65ce41bbFac177ed1/9036cc3f44653ae2.jpg
100020092372,20516655043,//img30.360buyimg.com/n0/s128x96_jfs/t1/231418/20/13754/58684/65dd94cfF599540fb/73b9eb7fe69f21ce.jpg
100020092372,20516655043,//img30.360buyimg.com/n0/s128x96_jfs/t1/133275/27/41156/69778/65dd94cfF66f45ce7/c6957eabcb068285.jpg
100020092372,20516986619,//img30.360buyimg.com/n0/s128x96_jfs/t1/165716/8/40875/55950/65dda935F4b91ef42/c55923cc8ba86330.jpg
100020092372,20474200069,//img30.360buyimg.com/n0/s128x96_jfs/t1/150295/24/41426/89958/65cabfcfF66e76b47/58466493ddae4e64.jpg
100020092372,20504839003,//img30.360buyimg.com/n0/s128x96_jfs/t1/160404/8/42593/100588/65d951c2F88eb8e60/d67f97c20f3754d8.jpg
100020092372,20504839003,//img30.360buyimg.com/n0/s128x96_jfs/t1/103655/35/47658/40027/65d951c3F32708a5b/be7ee1d414c137e0.jpg
100020092372,20504839003,//img30.360buyimg.com/n0/s128x96_jfs/t1/97865/34/39118/45775/65d951c3Fc0bcba4f/887da515cc691d81.jpg
100020092372,20476466602,//img30.360buyimg.com/n0/s128x96_jfs/t1/235245/11/13763/88790/65cc5ae9F4eb6ad0f/6ef22d1195774d2b.jpg
100020092372,20476466602,//img30.360buyimg.com/n0/s128x96_jfs/t1/248889/21/4485/154174/65cc5aeaFb20de7ab/8c34fa48be24fd04.jpg
100020092372,20476466602,//img30.360buyimg.com/n0/s128x96_jfs/t1/228461/29/13835/125622/65cc5aebF54899e0c/003a736295e821f7.jpg
100020092372,20497267574,//img30.360buyimg.com/n0/s128x96_jfs/t1/229280/24/13280/55650/65d5fe4dF3788fd63/a6b251ae38cdad7b.jpg
100020092372,20497267574,//img30.360buyimg.com/n0/s128x96_jfs/t1/228249/3/12165/52604/65d5fe4dF604e380c/8b0308ccf4da81b8.jpg
100020092372,20497267574,//img30.360buyimg.com/n0/s128x96_jfs/t1/247414/14/4325/79277/65d5fe4dF1f256c8a/606c75cee3fbaaf9.jpg
100020092372,20456164336,//img30.360buyimg.com/n0/s128x96_jfs/t1/167408/26/42471/139599/65bf56a8Fdc26d9c1/9c046d091a8afebb.jpg
100020092372,20456164336,//img30.360buyimg.com/n0/s128x96_jfs/t1/232396/34/12617/145944/65bf56a8F5e26c108/2f26187b354867a7.jpg
